,id,relevance
0,2,2.33
1,3,2.33
2,9,3.0
3,16,2.33
4,17,3.0
5,18,2.33
6,20,2.33
7,21,3.0
8,23,3.0
9,27,2.33
10,34,2.67
11,35,3.0
12,37,2.33
13,38,2.33
14,48,2.67
15,51,3.0
16,65,3.0
17,69,2.33
18,75,2.0
19,81,2.33
20,85,2.33
21,88,2.0
22,90,1.67
23,92,2.33
24,101,2.33
25,105,3.0
26,106,2.33
27,113,2.33
28,114,2.33
29,117,2.33
30,120,2.67
31,122,2.33
32,123,2.0
33,125,2.33
34,127,2.33
35,136,2.33
36,138,2.33
37,143,2.33
38,147,2.33
39,149,2.0
40,150,2.33
41,157,2.0
42,158,2.33
43,162,2.33
44,164,2.33
45,165,3.0
46,166,3.0
47,172,2.33
48,177,3.0
49,178,2.33
50,179,2.33
51,181,2.33
52,182,2.0
53,186,2.33
54,191,2.67
55,193,2.67
56,195,2.33
57,201,2.33
58,202,2.67
59,203,2.0
60,205,2.33
61,210,2.33
62,214,1.67
63,215,3.0
64,223,3.0
65,226,2.33
66,227,3.0
67,233,2.33
68,241,3.0
69,245,2.33
70,255,3.0
71,257,2.67
72,259,2.33
73,261,2.33
74,266,3.0
75,270,2.33
76,272,3.0
77,275,3.0
78,276,3.0
79,284,2.33
80,290,2.67
81,293,2.33
82,294,3.0
83,297,2.33
84,305,2.33
85,314,3.0
86,318,3.0
87,319,3.0
88,323,2.33
89,327,2.33
90,331,2.0
91,334,3.0
92,335,3.0
93,340,2.33
94,341,2.33
95,343,2.67
96,346,2.67
97,347,3.0
98,350,2.33
99,351,3.0
100,354,2.33
101,355,3.0
102,359,2.33
103,361,2.33
104,363,2.67
105,365,3.0
106,373,3.0
107,374,2.67
108,375,2.33
109,385,2.33
110,389,2.33
111,397,2.33
112,400,2.33
113,401,2.33
114,402,2.67
115,403,2.67
116,407,2.33
117,408,2.33
118,411,2.33
119,413,2.33
120,418,2.67
121,421,3.0
122,422,3.0
123,440,2.33
124,444,2.33
125,445,3.0
126,446,2.67
127,447,2.67
128,452,2.33
129,454,3.0
130,455,2.33
131,456,2.33
132,458,3.0
133,459,2.33
134,461,3.0
135,468,3.0
136,469,3.0
137,470,2.33
138,473,2.33
139,475,2.33
140,476,2.67
141,478,3.0
142,479,2.33
143,480,2.67
144,481,3.0
145,485,2.33
146,491,3.0
147,492,1.67
148,497,2.33
149,500,2.0
150,501,1.67
151,508,2.33
152,511,2.0
153,516,3.0
154,517,2.33
155,524,2.33
156,533,2.33
